exp,tx,replicate,time_min,isc_uA_per_cm2
exp19-35,ctrl25_10uM_vx770_vx809,r1,5.866666667,0.024414063
exp19-35,ctrl25_10uM_vx770_vx809,r1,5.95,0.100708008
exp19-35,ctrl25_10uM_vx770_vx809,r1,6.033333333,-0.003051758
exp19-35,ctrl25_10uM_vx770_vx809,r1,6.116666667,-0.070190429
exp19-35,ctrl25_10uM_vx770_vx809,r1,6.2,-0.128173828
exp19-35,ctrl25_10uM_vx770_vx809,r1,6.283333333,0.131225586
exp19-35,ctrl25_10uM_vx770_vx809,r1,6.366666667,-0.048828125
exp19-35,ctrl25_10uM_vx770_vx809,r1,6.45,-0.128173828
exp19-35,ctrl25_10uM_vx770_vx809,r1,6.533333333,-0.094604492
exp19-35,ctrl25_10uM_vx770_vx809,r1,6.616666667,0.100708008
exp19-35,ctrl25_10uM_vx770_vx809,r1,6.7,0
exp19-35,ctrl25_10uM_vx770_vx809,r1,6.783333333,0.018310547
exp19-35,ctrl25_10uM_vx770_vx809,r1,6.866666667,-0.045776367
exp19-35,ctrl25_10uM_vx770_vx809,r1,6.95,0.036621094
exp19-35,ctrl25_10uM_vx770_vx809,r1,7.033333333,-0.039672851
exp19-35,ctrl25_10uM_vx770_vx809,r1,7.116666667,-0.057983398
exp19-35,ctrl25_10uM_vx770_vx809,r1,7.2,0.045776367
exp19-35,ctrl25_10uM_vx770_vx809,r1,7.283333333,-0.088500976
exp19-35,ctrl25_10uM_vx770_vx809,r1,7.366666667,-0.018310547
exp19-35,ctrl25_10uM_vx770_vx809,r1,7.45,-0.030517578
exp19-35,ctrl25_10uM_vx770_vx809,r1,7.533333333,-0.018310547
exp19-35,ctrl25_10uM_vx770_vx809,r1,7.616666667,0.057983399
exp19-35,ctrl25_10uM_vx770_vx809,r1,7.7,-0.09765625
exp19-35,ctrl25_10uM_vx770_vx809,r1,7.783333333,-0.05493164
exp19-35,ctrl25_10uM_vx770_vx809,r1,7.866666667,-0.09765625
exp19-35,ctrl25_10uM_vx770_vx809,r1,7.95,-0.045776367
exp19-35,ctrl25_10uM_vx770_vx809,r1,8.033333333,-0.039672851
exp19-35,ctrl25_10uM_vx770_vx809,r1,8.116666667,-0.158691406
exp19-35,ctrl25_10uM_vx770_vx809,r1,8.2,-0.189208984
exp19-35,ctrl25_10uM_vx770_vx809,r1,8.3,-0.079345703
exp19-35,ctrl25_10uM_vx770_vx809,r1,8.383333333,-0.122070312
exp19-35,ctrl25_10uM_vx770_vx809,r1,8.466666667,-0.15258789
exp19-35,ctrl25_10uM_vx770_vx809,r1,8.55,-0.09765625
exp19-35,ctrl25_10uM_vx770_vx809,r1,8.633333333,-0.186157226
exp19-35,ctrl25_10uM_vx770_vx809,r1,8.716666667,-0.219726562
exp19-35,ctrl25_10uM_vx770_vx809,r1,8.8,-0.173950195
exp19-35,ctrl25_10uM_vx770_vx809,r1,8.883333333,-0.122070312
exp19-35,ctrl25_10uM_vx770_vx809,r1,8.966666667,-0.204467773
exp19-35,ctrl25_10uM_vx770_vx809,r1,9.05,-0.115966797
exp19-35,ctrl25_10uM_vx770_vx809,r1,9.133333333,-0.149536133
exp19-35,ctrl25_10uM_vx770_vx809,r1,9.216666667,0.149536133
exp19-35,ctrl25_10uM_vx770_vx809,r1,9.3,-0.228881836
exp19-35,ctrl25_10uM_vx770_vx809,r1,9.383333333,-0.122070312
exp19-35,ctrl25_10uM_vx770_vx809,r1,9.466666667,-0.09765625
exp19-35,ctrl25_10uM_vx770_vx809,r1,9.55,-0.048828125
exp19-35,ctrl25_10uM_vx770_vx809,r1,9.633333333,-0.137329101
exp19-35,ctrl25_10uM_vx770_vx809,r1,9.716666667,-0.042724609
